# Directed graph: ./../../../kronecker_graph_dolphins_16384.txt 
# Kronecker Graph: seed matrix [0.9284 0.5276; 0.5233 0.0759]
# Nodes: 16384 Edges: 23985
# FromNodeId	ToNodeId
0	2
0	4
0	13
0	32
0	42
0	56
0	58
0	63
0	64
0	68
0	76
0	116
0	129
0	130
0	138
0	266
0	272
0	300
0	327
0	328
0	356
0	392
0	396
0	546
0	548
0	551
0	573
0	649
0	750
0	768
0	777
0	801
0	814
0	898
0	1033
0	1158
0	1190
0	1192
0	1238
0	1536
0	1754
0	1803
0	1848
0	1901
0	1924
0	2098
0	2116
0	2129
0	2305
0	2321
0	2328
0	2344
0	2608
0	2612
0	2838
0	2926
0	3097
0	3130
0	3134
0	3218
0	3269
0	3392
0	3483
0	3530
0	3584
0	3749
0	3843
0	3850
0	3972
0	4097
0	4106
0	4108
0	4148
0	4171
0	4172
0	4176
0	4192
0	4220
0	4236
0	4345
0	4369
0	4386
0	4441
0	4486
0	4550
0	4645
0	4684
0	4738
0	4941
0	4975
0	5053
0	5065
0	5144
0	5160
0	5168
0	5190
0	5328
0	5420
0	5430
0	5506
0	5828
0	6017
0	6018
0	6160
0	6296
0	6405
0	6406
0	6685
0	6786
0	6816
0	6871
0	6884
0	7249
0	7251
0	7265
0	7300
0	7468
0	7484
0	8194
0	8208
0	8224
0	8249
0	8303
0	8321
0	8424
0	8449
0	8453
0	8464
0	8498
0	8644
0	8677
0	8843
0	8897
0	9034
0	9308
0	9640
0	10029
0	10242
0	10317
0	10348
0	10368
0	10497
0	10499
0	10514
0	10566
0	10689
0	10753
0	10992
0	11024
0	11460
0	11552
0	11602
0	11671
0	11724
0	12305
0	12404
0	12448
0	12576
0	12638
0	12976
0	12998
0	13329
0	13461
0	13698
0	13862
0	13869
0	13904
0	13936
0	14274
0	14340
0	14521
0	14993
0	15106
0	15140
0	15167
0	15504
0	15617
1	12
1	19
1	20
1	33
1	78
1	145
1	150
1	162
1	192
1	196
1	201
1	289
1	457
1	512
1	707
1	788
1	824
1	848
1	1174
1	1208
1	1298
1	1538
1	1540
1	1616
1	1652
1	1837
1	1890
1	2016
1	2052
1	2056
1	2080
1	2126
1	2326
1	2566
1	2626
1	2758
1	2848
1	3092
1	3108
1	3465
1	3639
1	3712
1	4128
1	4456
1	4504
1	4734
1	5306
1	5692
1	5712
1	5730
1	6224
1	6284
1	7256
1	7310
1	7344
1	7954
1	8260
1	8322
1	8620
1	8960
1	9024
1	9040
1	9240
1	9288
1	9378
1	9808
1	9864
1	9910
1	10536
1	10808
1	10884
1	11268
1	11792
1	12040
1	12938
1	14358
1	16172
2	1
2	9
2	68
2	72
2	88
2	224
2	298
2	748
2	812
2	1085
2	1104
2	1168
2	1316
2	1329
2	1616
2	2049
2	2072
2	2092
2	2113
2	2192
2	2417
2	2582
2	2585
2	2946
2	3232
2	3301
2	3376
2	3616
2	4096
2	4097
2	4245
2	4320
2	4424
2	4448
2	4684
2	4817
2	5217
2	5228
2	5904
2	6400
2	8593
2	8769
2	8836
2	8870
2	9464
2	9480
2	9860
2	9984
2	10321
2	10496
2	10503
2	10517
2	10660
2	11465
2	12240
2	12297
2	12353
2	12452
2	12672
2	13550
2	14469
2	16020
3	40
3	128
3	168
3	192
3	324
3	428
3	928
3	1106
3	1152
3	1192
3	1322
3	1544
3	1768
3	1926
3	2108
3	4186
3	4192
3	4392
3	4960
3	5250
3	5388
3	5902
3	6217
3	8304
3	8712
3	8788
3	9250
3	9344
3	9500
3	10368
3	10560
3	11096
3	12161
3	12740
3	12920
3	12944
3	12970
3	15392
3	16192
4	32
4	66
4	120
4	170
4	258
4	267
4	276
4	288
4	416
4	433
4	514
4	568
4	668
4	836
4	907
4	1024
4	1065
4	1081
4	1088
4	1092
4	1168
4	1305
4	1528
4	1594
4	2291
4	2315
4	2330
4	2345
4	2826
4	3210
4	3216
4	3379
4	3584
4	3619
4	4096
4	4123
4	4176
4	4201
4	4210
4	4373
4	4616
4	4618
4	4710
4	4896
4	5006
4	5049
4	5124
4	5162
4	5226
4	5248
4	5896
4	6354
4	6402
4	6609
4	6690
4	6696
4	6848
4	7138
4	7425
4	7592
4	8451
4	8560
4	8716
4	9537
4	9584
4	9912
4	10258
4	10282
4	11379
4	11505
4	11648
4	11737
4	12473
4	13354
4	13682
4	13985
4	14363
4	14601
4	14920
4	14985
4	15059
5	2
5	5
5	96
5	564
5	840
5	1136
5	2210
5	2584
5	3592
5	4360
5	4512
5	4808
5	4842
5	4866
5	5160
5	5394
5	5984
5	6242
5	6418
5	6488
5	8216
5	8266
5	8448
5	9082
5	9364
5	9366
5	10004
5	10320
5	10768
5	10778
5	12426
5	14312
5	14344
5	14872
5	16290
6	0
6	200
6	609
6	1418
6	1912
6	2144
6	2196
6	2850
6	2948
6	4128
6	4577
6	4771
6	5640
6	6224
6	6418
6	6618
6	6913
6	7272
6	8336
6	8600
6	8712
6	9281
6	9313
6	9472
6	9601
6	9743
6	10112
6	10297
6	10512
6	12408
6	12577
6	12848
6	13380
6	14156
6	15208
6	15916
7	152
7	304
7	581
7	704
7	1160
7	1344
7	1832
7	2320
7	2601
7	4160
7	4425
7	4650
7	9248
7	14354
7	14476
7	15536
8	5
8	34
8	82
8	180
8	258
8	392
8	589
8	644
8	736
8	881
8	902
8	914
8	1047
8	1089
8	1186
8	1232
8	1312
8	1313
8	1412
8	1584
8	1666
8	2082
8	2102
8	2592
8	2598
8	2896
8	2917
8	3137
8	3254
8	3331
8	3345
8	3456
8	3588
8	3712
8	3766
8	3876
8	4299
8	4384
8	4560
8	4690
8	5124
