# Directed graph: ./../../../kronecker_graph_dolphins_1024.txt 
# Kronecker Graph: seed matrix [0.9284 0.5276; 0.5233 0.0759]
# Nodes: 1024 Edges: 1344
# FromNodeId	ToNodeId
0	2
0	5
0	6
0	8
0	18
0	20
0	61
0	78
0	93
0	120
0	132
0	134
0	160
0	162
0	174
0	192
0	193
0	214
0	243
0	256
0	267
0	268
0	271
0	272
0	321
0	324
0	360
0	361
0	375
0	417
0	451
0	468
0	522
0	528
0	544
0	549
0	550
0	558
0	600
0	611
0	633
0	635
0	642
0	643
0	650
0	656
0	768
0	769
0	798
0	803
0	809
0	812
0	828
0	887
0	911
0	962
0	975
0	982
1	32
1	50
1	65
1	91
1	168
1	252
1	334
1	409
1	528
1	656
1	788
2	5
2	41
2	46
2	120
2	137
2	144
2	154
2	352
2	557
2	605
2	749
2	867
2	888
2	897
3	84
3	256
4	1
4	40
4	49
4	50
4	112
4	129
4	145
4	282
4	288
4	320
4	384
4	528
4	560
4	648
4	656
4	681
4	768
4	826
4	858
4	985
5	0
5	136
5	165
5	288
5	337
5	561
6	1
6	32
6	40
6	128
6	145
6	281
6	288
6	417
6	480
6	772
8	65
8	128
8	132
8	272
8	290
8	513
8	514
8	515
8	640
8	658
8	724
8	768
8	835
9	0
9	192
9	528
9	594
9	784
9	866
9	880
9	966
9	976
10	33
10	117
10	128
10	140
10	448
10	512
10	533
10	592
10	785
11	16
11	128
11	262
11	816
11	928
12	1
12	32
12	77
12	131
12	416
12	569
12	768
12	850
13	384
13	592
15	96
15	544
15	776
16	1
16	2
16	8
16	13
16	20
16	35
16	104
16	161
16	288
16	319
16	322
16	364
16	416
16	448
16	521
16	612
16	896
17	14
17	256
17	296
17	386
17	512
17	680
18	33
18	169
18	256
18	265
19	72
19	104
19	253
19	256
19	780
20	1
20	8
20	32
20	67
20	76
20	200
20	256
20	417
20	452
20	514
20	522
20	640
20	776
20	936
21	74
21	161
21	306
21	385
21	553
22	336
22	512
22	576
22	680
22	968
23	16
23	200
24	5
24	192
24	288
24	823
25	0
25	130
25	195
25	450
25	662
25	716
25	744
26	652
26	836
26	864
27	6
28	38
28	227
28	449
29	784
32	2
32	16
32	32
32	34
32	80
32	85
32	166
32	192
32	302
32	395
32	405
32	470
32	513
32	521
32	538
32	576
32	584
32	713
32	982
33	288
33	414
33	658
33	664
33	902
34	0
34	73
34	84
34	133
34	192
34	324
34	723
